,BANK,INIT,ENV,MODEL,INS,TEST,COMP,OCC AVG,OCC MIN,RO,TB,HMM,PER
20,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1783.0,1866.65635811,254.942719,100.0,1150.0,20.0,30.07
155,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,950.0,24.0,30.08
196,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2384.0,1581.12369485,249.687393,75.0,950.0,24.0,30.08
189,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2797.0,1445.61119452,191.819138,75.0,850.0,16.0,30.08
49,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2393.0,1581.71117907,249.667328,100.0,950.0,20.0,30.09
170,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2198.0,1647.46227098,259.057739,75.0,1000.0,20.0,30.11
21,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1783.0,1866.65635811,254.942719,100.0,1150.0,24.0,30.11
5,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2207.0,1647.85543174,259.078552,100.0,1000.0,20.0,30.11
67,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1515.0,2064.27095629,287.256317,150.0,1250.0,20.0,30.17
112,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1112.0,2485.47916528,409.778137,300.0,1500.0,16.0,30.19
50,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2393.0,1581.71117907,249.667328,100.0,950.0,24.0,30.19
45,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2624.0,1505.95829352,210.271957,100.0,900.0,20.0,30.2
28,MFC,FlatStart,D2,xwtri,-12.5,TEST,1309.0,2251.65485419,290.643036,100.0,1400.0,12.0,30.2
63,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1756.0,1887.07630175,257.285492,150.0,1150.0,20.0,30.2
147,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,850.0,16.0,30.2
62,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1756.0,1887.07630175,257.285492,150.0,1150.0,16.0,30.23
181,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1790.0,1865.39980187,255.140259,75.0,1150.0,24.0,30.23
72,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1155.0,2445.97168751,286.020294,150.0,1500.0,24.0,30.23
55,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2170.0,1660.86968536,251.387024,150.0,1000.0,24.0,30.23
54,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2170.0,1660.86968536,251.387024,150.0,1000.0,20.0,30.24
114,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1112.0,2485.47916528,409.778137,300.0,1500.0,24.0,30.24
154,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,50.0,950.0,20.0,30.27
195,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2384.0,1581.12369485,249.687393,75.0,950.0,20.0,30.27
169,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2198.0,1647.46227098,259.057739,75.0,1000.0,16.0,30.32
10,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2049.0,1734.43991614,256.930573,100.0,1050.0,20.0,30.32
37,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,,,,100.0,2000.0,32.0,30.34
171,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2198.0,1647.46227098,259.057739,75.0,1000.0,24.0,30.35
19,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,1783.0,1866.65635811,254.942719,100.0,1150.0,16.0,30.35
204,MFC,FlatStart,D2,xwtri,-12.5,TEST.CORE,2025.0,1603.78701863,409.242035,800.0,600.0,16.0,30.36
